atrip;AActT;AcessMetroResid;aChildren;ATTD;ATTT;AvCar;DCBD;ElderRetired;Family;ParkingOrigin;Personal;Shop;TCPass;Work
2.781;6.829;6924;1;11.842;63.094;0.438;14.736;0.406;0.031;0.159;0;0.219;0.094;0.688
3.163;5.192;3728.86;1.233;37.175;97.628;0.465;37.338;0.419;0.047;0.242;0.256;0.209;0.209;0.465
2.513;6.736;2615.513;0.679;13.233;50.872;0.41;28.342;0.449;0.013;0.29;0.115;0.167;0.231;0.679
2.851;7.301;588.582;0.925;25.647;94.478;0.507;23.03;0.284;0;0.093;0.134;0.209;0.328;0.657
2.809;7.195;5397.936;0.596;23.255;66.17;0.489;25.169;0.34;0;0.15;0.128;0.128;0.319;0.702
2.8;7.273;1899.257;0.771;38.346;105.771;0.543;33.832;0.486;0.029;0.262;0.143;0.114;0.086;0.657
2.63;6.592;2594.944;0.759;15.919;96.889;0.296;13.157;0.315;0.037;0.347;0.093;0.167;0.444;0.685
2.621;6.365;1151.607;0.946;15.371;95.661;0.353;12.338;0.277;0.013;0.192;0.121;0.143;0.438;0.705
2.924;7.642;1588.374;0.854;17.832;96.175;0.368;13.072;0.164;0.012;0.185;0.088;0.123;0.427;0.766
3.37;7.936;3368.174;0.87;13.28;89.37;0.348;10.654;0.283;0.022;0.425;0.043;0.174;0.413;0.739
2.542;7.497;2193;0.583;19.544;123.875;0.458;12.531;0.167;0;0.109;0.083;0.042;0.542;0.875
2.077;6.026;3929;0.923;29.473;131.538;0.462;18.996;0.385;0;0.238;0.231;0.308;0.308;0.462
2.476;5.532;15132.762;0.762;16.145;65.714;0.619;28.909;0.381;0.048;0.122;0.19;0.19;0.143;0.571
2.805;6.58;17148.756;1;15.473;65.366;0.354;31.787;0.366;0.024;0.175;0.11;0.183;0.28;0.683
2.796;7.08;5294.163;0.673;28.38;72.306;0.571;21.042;0.327;0.041;0;0.163;0.082;0.184;0.673
2.4;3.833;6079.6;0.2;6.015;39;0.6;29.352;0.4;0;0;0.2;0.2;0.4;0.2
2.852;6.436;779;0.818;8.217;60.013;0.321;32.167;0.365;0.013;0.5;0.088;0.195;0.22;0.679
2;8.75;2782;0;65.37;120;0;31.113;0;0;0;0;0;1;1
2.444;5.333;7322.778;0.667;23.453;81.528;0.472;26.208;0.361;0.028;0.161;0.111;0.222;0.222;0.639
2.405;6.803;1024.214;0.667;11.077;48.69;0.405;34.971;0.381;0.024;0;0.119;0.143;0.429;0.69
2.486;5.352;6505.2;0.686;22.551;76.714;0.429;26.379;0.286;0.029;0.153;0.086;0.286;0.371;0.6
2.468;7.311;1724.726;0.903;23.474;67.226;0.516;35.837;0.21;0.048;0.204;0.081;0.065;0.371;0.758
2.923;6.006;1789;1.038;18.381;68.462;0.462;37.472;0.038;0.038;0.281;0.115;0.192;0.346;0.654
2.545;6.057;18335;0.909;21.02;60.909;0.318;50.827;0.864;0.045;0;0;0.409;0.227;0.5
2.429;7.792;2357.143;1;23.725;55.357;0.571;44.057;0.357;0;0.126;0.143;0;0.5;0.857
2.875;7.219;8645.583;1;33.166;75.625;0.417;44.433;0.208;0;0.209;0.125;0.208;0.25;0.667
2.622;5.777;185.595;1;26.24;73.649;0.297;38.951;0.324;0;0.228;0.135;0.243;0.243;0.595
2.643;5.693;16321.357;0.786;6.277;32.429;0.429;53.991;0.571;0;0.109;0.214;0.214;0.071;0.571
2.167;5.976;5247.917;0.708;13.797;51.667;0.375;42.752;0.542;0.042;0.164;0.167;0.083;0.333;0.708
2;6.474;757;0.813;23.804;54.375;0.375;33.106;0.25;0;0.223;0.125;0.188;0.5;0.688
2;5.344;13891.75;0.5;19.247;50;0.5;54.129;0.875;0;0.104;0.25;0.25;0;0.5
2;4.833;12357;0;104.024;20;1;51.4;0;0;0.167;0;0;0;0.5
2.773;7.366;3737;0.795;11.199;50.455;0.364;21.449;0.318;0.068;0.205;0.091;0.159;0.273;0.682
2.925;7.021;853.444;0.988;21.329;81.969;0.431;15.815;0.275;0.019;0.219;0.063;0.15;0.306;0.763
2.709;7.059;2401.823;0.823;20.256;79.291;0.494;23.475;0.481;0.025;0.24;0.089;0.241;0.329;0.646
2.885;6.888;825.541;0.668;22.285;81.236;0.45;21.411;0.353;0.018;0.253;0.118;0.205;0.323;0.65
3.139;7.631;3286.417;0.75;18.479;73.639;0.491;15.956;0.287;0.028;0.212;0.093;0.083;0.306;0.796
