atrip;AActT;AcessMetroResid;aChildren;ATTD;ATTT;AvCar;DCBD;ElderRetired;Family;ParkingOrigin;Personal;Shop;TCPass;Work
3.077;6.196;485.846;1.077;9.322;73.231;0.077;1.981;0.077;0;0.318;0.154;0;0.538;0.846
3.688;8.188;577.625;0.563;13.075;95.938;0.25;2.247;0.25;0;0.614;0;0.25;0.438;0.625
3.25;5.958;543.25;0.5;6.642;48.75;0.25;1.031;0.25;0;0.705;0;0.25;0.5;0.75
2.741;7.796;346.815;1.037;9.101;70.556;0.444;1.551;0.444;0;0.279;0.111;0.148;0.407;0.704
2.487;6.156;333.103;0.795;8.867;82.513;0.154;0.787;0.436;0.026;0.164;0.154;0.231;0.692;0.59
2.679;7.119;428.872;0.654;10.118;68.846;0.359;1.139;0.385;0.064;0.814;0.077;0.141;0.333;0.705
2.75;6.764;438.125;0.5;8.509;76.333;0.417;0.761;0.458;0;0.676;0.25;0.083;0.542;0.667
2.889;7.167;210.333;0.667;4.163;57.778;0.333;0.709;0.111;0;0.931;0.111;0.222;0.444;0.556
2.444;4.37;221.667;0.444;6.447;42.222;0.333;0.431;0.333;0;0.626;0.111;0.333;0.444;0.556
2.263;6.189;1427.632;0.632;11.368;91.316;0.158;4.362;0.474;0;0.115;0.211;0.158;0.737;0.579
2.592;7.315;1063.873;0.803;11.886;100.592;0.239;4.522;0.31;0.028;0.08;0.085;0.183;0.718;0.704
2.2;5.017;1254.7;1.5;9.17;103.5;0;3.501;0.4;0;0.277;0.2;0.1;0.8;0.7
2.754;5.789;386.158;0.509;8.18;65.316;0.193;2.606;0.561;0;0.666;0.105;0.263;0.386;0.579
3.267;5.603;489.1;0.8;9.698;64.967;0.4;2.202;0.5;0;0.62;0.167;0.233;0.4;0.567
2.887;6.437;578.581;0.452;7.913;71.048;0.226;2.183;0.5;0;0.64;0.177;0.113;0.371;0.694
3;6.221;783.373;0.784;7.313;74.922;0.451;2.838;0.647;0.02;0.556;0.137;0.216;0.255;0.608
2.984;6.428;435.825;0.683;8.765;82.365;0.317;2.884;0.476;0;0.424;0.111;0.143;0.444;0.683
2.9;7.01;434.4;0.7;10.326;71.65;0.325;3.355;0.6;0;0.487;0.075;0.175;0.4;0.7
2.633;5.742;565.4;0.8;12.537;69.167;0.367;4.076;0.3;0;0.482;0.1;0.2;0.4;0.7
2.813;8.307;546.563;0.563;15.733;90.938;0.438;4.741;0.188;0;0.482;0.25;0.063;0.5;0.688
3.471;9.358;944.235;0.529;16.483;83.529;0.706;3.38;0.118;0;0.364;0;0.059;0.294;0.941
3.222;6.75;430.422;0.933;13.665;94;0.378;3.515;0.244;0;0.233;0.133;0.156;0.356;0.667
2.977;7.334;413.977;1.047;11.781;76.093;0.419;2.643;0.233;0;0.273;0.047;0.14;0.326;0.791
